model,sea,metric,value,forecast_len,step
baseline_mean,Laptev Sea,rmse,0.2392944991588592,6,1m
baseline_mean,Laptev Sea,psnr,12.421345710754396,6,1m
baseline_mean,Laptev Sea,ssim,0.7732496857643127,6,1m
baseline_mean,Laptev Sea,iou,0.7919095158576965,6,1m
baseline_mean,Laptev Sea,bin_accuracy,0.92830091714859,6,1m
baseline_mean,Sea of Japan,mae,0.0134923113510012,6,1m
baseline_mean,Sea of Japan,rmse,0.0652664303779602,6,1m
baseline_mean,Sea of Japan,psnr,23.618907928466797,6,1m
baseline_mean,Sea of Japan,ssim,0.8459055423736572,6,1m
baseline_mean,Sea of Japan,iou,0.2145944684743881,6,1m
baseline_mean,Sea of Japan,bin_accuracy,0.9729105830192566,6,1m
baseline_repeat,Barents Sea,mae,0.1553906947374344,6,1m
baseline_repeat,Barents Sea,rmse,0.3318745195865631,6,1m
baseline_repeat,Barents Sea,psnr,9.580522537231444,6,1m
baseline_repeat,Barents Sea,ssim,0.5987361073493958,6,1m
baseline_repeat,Barents Sea,iou,0.417553961277008,6,1m
baseline_repeat,Barents Sea,bin_accuracy,0.8202377557754517,6,1m
baseline_repeat,Chukchi Sea,mae,0.3307717144489288,6,1m
baseline_repeat,Chukchi Sea,rmse,0.5255559682846069,6,1m
baseline_repeat,Chukchi Sea,psnr,5.587620735168457,6,1m
baseline_repeat,Chukchi Sea,ssim,0.3363824784755707,6,1m
baseline_repeat,Chukchi Sea,iou,0.4790151119232178,6,1m
baseline_repeat,Chukchi Sea,bin_accuracy,0.6957557797431946,6,1m
baseline_repeat,Kara Sea,mae,0.1982604563236236,6,1m
baseline_repeat,Kara Sea,rmse,0.3855544626712799,6,1m
baseline_repeat,Kara Sea,psnr,8.27828598022461,6,1m
baseline_repeat,Kara Sea,ssim,0.5681912899017334,6,1m
baseline_repeat,Kara Sea,iou,0.5356402397155762,6,1m
baseline_repeat,Kara Sea,bin_accuracy,0.8102729320526123,6,1m
baseline_repeat,Laptev Sea,mae,0.1425438225269317,6,1m
baseline_repeat,Laptev Sea,rmse,0.3387036621570587,6,1m
baseline_repeat,Laptev Sea,psnr,9.40360164642334,6,1m
baseline_repeat,Laptev Sea,ssim,0.7195879220962524,6,1m
baseline_repeat,Laptev Sea,iou,0.6347249150276184,6,1m
baseline_repeat,Laptev Sea,bin_accuracy,0.8831778764724731,6,1m
baseline_repeat,Sea of Japan,mae,0.0156414359807968,6,1m
baseline_repeat,Sea of Japan,rmse,0.0942912027239799,6,1m
baseline_repeat,Sea of Japan,psnr,20.423282623291016,6,1m
baseline_repeat,Sea of Japan,ssim,0.8744771480560303,6,1m
baseline_repeat,Sea of Japan,iou,0.1158093214035034,6,1m
baseline_repeat,Sea of Japan,bin_accuracy,0.972167670726776,6,1m
baseline_mean,Barents Sea,mae,0.1302360892295837,52,1w
baseline_mean,Barents Sea,rmse,0.2314176857471466,52,1w
baseline_mean,Barents Sea,psnr,12.712069511413574,52,1w
baseline_mean,Barents Sea,ssim,0.5404643416404724,52,1w
baseline_mean,Barents Sea,iou,0.5628436803817749,52,1w
baseline_mean,Barents Sea,bin_accuracy,0.8370286226272583,52,1w
baseline_mean,Chukchi Sea,mae,0.269925981760025,52,1w
baseline_mean,Chukchi Sea,rmse,0.3525709509849548,52,1w
baseline_mean,Chukchi Sea,psnr,9.055068969726562,52,1w
baseline_mean,Chukchi Sea,ssim,0.4057977795600891,52,1w
baseline_mean,Chukchi Sea,iou,0.6684993505477905,52,1w
baseline_mean,Chukchi Sea,bin_accuracy,0.7747495174407959,52,1w
baseline_mean,Kara Sea,mae,0.1627847701311111,52,1w
baseline_mean,Kara Sea,rmse,0.2659385800361633,52,1w
baseline_mean,Kara Sea,psnr,11.504372596740724,52,1w
baseline_mean,Kara Sea,ssim,0.6040797233581543,52,1w
baseline_mean,Kara Sea,iou,0.6841198801994324,52,1w
baseline_mean,Kara Sea,bin_accuracy,0.8531004786491394,52,1w
baseline_mean,Laptev Sea,mae,0.1151105388998985,52,1w
baseline_mean,Laptev Sea,rmse,0.2275294661521911,52,1w
baseline_mean,Laptev Sea,psnr,12.859248161315918,52,1w
baseline_mean,Laptev Sea,ssim,0.7820727229118347,52,1w
baseline_mean,Laptev Sea,iou,0.7988459467887878,52,1w
baseline_mean,Laptev Sea,bin_accuracy,0.9306908845901488,52,1w
baseline_mean,Sea of Japan,mae,0.013823889195919,52,1w
baseline_mean,Sea of Japan,rmse,0.0668348520994186,52,1w
baseline_mean,Sea of Japan,psnr,23.499942779541016,52,1w
baseline_mean,Sea of Japan,ssim,0.8418471217155457,52,1w
baseline_mean,Sea of Japan,iou,0.2421168386936187,52,1w
baseline_mean,Sea of Japan,bin_accuracy,0.9754427671432496,52,1w
baseline_repeat,Barents Sea,mae,0.1513772755861282,52,1w
baseline_repeat,Barents Sea,rmse,0.3262377381324768,52,1w
baseline_repeat,Barents Sea,psnr,9.72931671142578,52,1w
baseline_repeat,Barents Sea,ssim,0.6091956496238708,52,1w
baseline_repeat,Barents Sea,iou,0.4599545300006866,52,1w
baseline_repeat,Barents Sea,bin_accuracy,0.8292797207832336,52,1w
baseline_repeat,Chukchi Sea,mae,0.300753653049469,52,1w
baseline_repeat,Chukchi Sea,rmse,0.4960219264030456,52,1w
baseline_repeat,Chukchi Sea,psnr,6.089982986450195,52,1w
baseline_repeat,Chukchi Sea,ssim,0.3851614594459533,52,1w
baseline_repeat,Chukchi Sea,iou,0.504592776298523,52,1w
baseline_repeat,Chukchi Sea,bin_accuracy,0.7199469804763794,52,1w
baseline_repeat,Kara Sea,mae,0.1859201490879058,52,1w
baseline_repeat,Kara Sea,rmse,0.3700914084911346,52,1w
baseline_repeat,Kara Sea,psnr,8.633820533752441,52,1w
baseline_repeat,Kara Sea,ssim,0.5905424952507019,52,1w
baseline_repeat,Kara Sea,iou,0.5757994055747986,52,1w
baseline_repeat,Kara Sea,bin_accuracy,0.8255965709686279,52,1w
baseline_repeat,Laptev Sea,mae,0.1222370937466621,52,1w
baseline_repeat,Laptev Sea,rmse,0.3072079420089721,52,1w
baseline_repeat,Laptev Sea,psnr,10.251351356506348,52,1w
baseline_repeat,Laptev Sea,ssim,0.7468234896659851,52,1w
baseline_repeat,Laptev Sea,iou,0.7018144130706787,52,1w
baseline_repeat,Laptev Sea,bin_accuracy,0.9052383303642272,52,1w
baseline_repeat,Sea of Japan,mae,0.0163323637098073,52,1w
baseline_repeat,Sea of Japan,rmse,0.0978645756840705,52,1w
baseline_repeat,Sea of Japan,psnr,20.187490463256836,52,1w
baseline_repeat,Sea of Japan,ssim,0.8790640234947205,52,1w
baseline_repeat,Sea of Japan,iou,0.119541510939598,52,1w
baseline_repeat,Sea of Japan,bin_accuracy,0.971933901309967,52,1w
baseline_repeat,Barents Sea,mae,0.0968380698135921,90,1d
baseline_repeat,Barents Sea,rmse,0.2420572170189448,90,1d
baseline_repeat,Barents Sea,psnr,12.326154845101494,90,1d
baseline_repeat,Barents Sea,ssim,0.7180197749819074,90,1d
baseline_repeat,Barents Sea,iou,0.5616233689444405,90,1d
baseline_repeat,Barents Sea,bin_accuracy,0.9156962207385472,90,1d
baseline_repeat,Chukchi Sea,mae,0.1610597712653023,90,1d
baseline_repeat,Chukchi Sea,rmse,0.3326310685702732,90,1d
baseline_repeat,Chukchi Sea,psnr,9.649034908839637,90,1d
baseline_repeat,Chukchi Sea,ssim,0.5887144207954407,90,1d
baseline_repeat,Chukchi Sea,iou,0.5954992856298175,90,1d
baseline_repeat,Chukchi Sea,bin_accuracy,0.8452271393367222,90,1d
baseline_repeat,Kara Sea,mae,0.11214059059109,90,1d
baseline_repeat,Kara Sea,rmse,0.2666810963835035,90,1d
baseline_repeat,Kara Sea,psnr,11.511049270629885,90,1d
baseline_repeat,Kara Sea,ssim,0.7150716781616211,90,1d
baseline_repeat,Kara Sea,iou,0.6507675903184074,90,1d
baseline_repeat,Kara Sea,bin_accuracy,0.8923131397792271,90,1d
baseline_repeat,Laptev Sea,mae,0.0775631522493703,90,1d
baseline_repeat,Laptev Sea,rmse,0.2300433559077126,90,1d
baseline_repeat,Laptev Sea,psnr,12.853872844151088,90,1d
baseline_repeat,Laptev Sea,ssim,0.8211757370403835,90,1d
baseline_repeat,Laptev Sea,iou,0.7112191064017159,90,1d
baseline_repeat,Laptev Sea,bin_accuracy,0.930990857737405,90,1d
baseline_repeat,Sea of Japan,mae,0.0116655569789665,90,1d
baseline_repeat,Sea of Japan,rmse,0.0772501288780144,90,1d
baseline_repeat,Sea of Japan,psnr,22.40123748779297,90,1d
baseline_repeat,Sea of Japan,ssim,0.9137420994894844,90,1d
baseline_repeat,Sea of Japan,iou,0.1739587453859193,90,1d
baseline_repeat,Sea of Japan,bin_accuracy,0.9797032049724034,90,1d
baseline_mean,Barents Sea,mae,0.1688788490636008,90,1d
baseline_mean,Barents Sea,rmse,0.3149890005588531,90,1d
baseline_mean,Barents Sea,psnr,10.081781796046666,90,1d
